action_day,scenario,mark,fair,pfc_usd,coc_usd,net_profit_usd
121,B-3,0.6270114942528735,0.41871921182266014,4163333.333333331,307778114.53156984,-303614781.1982365
122,B-2,0.6221674876847291,0.41871921182266014,4066453.201970442,118115.69404143326,3948337.507929009
122,B-3,0.6221674876847291,0.41871921182266014,4066453.201970442,307775653.7762332,-303709200.57426274
123,B-2,0.6173234811165846,0.41871921182266014,3969573.0706075532,115654.93870481588,3853918.1319027375
123,B-3,0.6173234811165846,0.41871921182266014,3969573.0706075532,307773193.02089655,-303803619.950289
124,B-2,0.6124794745484401,0.41871921182266014,3872692.9392446624,113194.18336819846,3759498.755876464
124,B-3,0.6124794745484401,0.41871921182266014,3872692.9392446624,307770732.26556,-303898039.3263153
125,B-2,0.6076354679802956,0.41871921182266014,3775812.8078817716,110733.42803158103,3665079.3798501906
125,B-3,0.6076354679802956,0.41871921182266014,3775812.8078817716,307768271.5102233,-303992458.70234156
126,B-2,0.602791461412151,0.41871921182266014,3678932.6765188808,108272.6726949636,3570660.0038239174
126,B-3,0.602791461412151,0.41871921182266014,3678932.6765188808,307765810.75488675,-304086878.0783679
127,B-2,0.5979474548440067,0.41871921182266014,3582052.5451559955,105811.91735834633,3476240.6277976492
127,B-3,0.5979474548440067,0.41871921182266014,3582052.5451559955,307763349.9995501,-304181297.4543941
128,B-2,0.5931034482758621,0.41871921182266014,3485172.4137931047,103351.1620217289,3381821.251771376
128,B-3,0.5931034482758621,0.41871921182266014,3485172.4137931047,307760889.2442135,-304275716.83042043
129,B-2,0.5882594417077176,0.41871921182266014,3388292.282430214,100890.40668511148,3287401.8757451023
129,B-3,0.5882594417077176,0.41871921182266014,3388292.282430214,307758428.4888769,-304370136.20644665
130,B-2,0.5834154351395731,0.41871921182266014,3291412.151067323,98429.65134849405,3192982.499718829
130,B-3,0.5834154351395731,0.41871921182266014,3291412.151067323,307755967.73354024,-304464555.5824729
131,B-2,0.5785714285714286,0.41871921182266014,3194532.019704434,95968.89601187667,3098563.123692557
131,B-3,0.5785714285714286,0.41871921182266014,3194532.019704434,307753506.97820365,-304558974.9584992
132,B-2,0.5737274220032842,0.41871921182266014,3097651.888341545,93508.14067525929,3004143.747666286
132,B-3,0.5737274220032842,0.41871921182266014,3097651.888341545,307751046.222867,-304653394.33452547
133,B-2,0.5688834154351396,0.41871921182266014,3000771.7569786543,91047.38533864185,2909724.3716400126
133,B-3,0.5688834154351396,0.41871921182266014,3000771.7569786543,307748585.4675304,-304747813.7105518
134,B-2,0.5640394088669951,0.41871921182266014,2903891.6256157635,88586.63000202442,2815304.995613739
134,B-3,0.5640394088669951,0.41871921182266014,2903891.6256157635,307746124.7121938,-304842233.086578
135,B-2,0.5591954022988506,0.41871921182266014,2807011.4942528727,86125.874665407,2720885.6195874657
135,B-3,0.5591954022988506,0.41871921182266014,2807011.4942528727,307743663.95685714,-304936652.4626043
136,B-2,0.554351395730706,0.41871921182266014,2710131.362889982,83665.11932878957,2626466.2435611924
136,B-3,0.554351395730706,0.41871921182266014,2710131.362889982,307741203.20152056,-305031071.83863056
137,B-2,0.5495073891625616,0.41871921182266014,2613251.231527093,81204.36399217219,2532046.8675349206
137,B-3,0.5495073891625616,0.41871921182266014,2613251.231527093,307738742.4461839,-305125491.21465683
138,B-2,0.5446633825944172,0.41871921182266014,2516371.100164204,78743.60865555481,2437627.491508649
138,B-3,0.5446633825944172,0.41871921182266014,2516371.100164204,307736281.69084734,-305219910.59068316
139,B-2,0.5398193760262726,0.41871921182266014,2419490.968801313,76282.85331893738,2343208.1154823755
139,B-3,0.5398193760262726,0.41871921182266014,2419490.968801313,307733820.9355107,-305314329.9667094
140,B-2,0.5349753694581281,0.41871921182266014,2322610.8374384223,73822.09798231996,2248788.7394561023
140,B-3,0.5349753694581281,0.41871921182266014,2322610.8374384223,307731360.1801741,-305408749.3427357
